Fecha,Caudalímetro 5,Consumo de energía sin restabecim. RTAE 5,Cto.1 Número de arranques del compresor,Cto.1 Presión del refrigerante del condensador,Cto.1 Presión del refrigerante del evaporador,Cto.1 Temperatura de saturación del refrigerante del condensador,Cto.1 Temperatura de saturación del refrigerante del evaporador,Cto.1 Tiempo de operación del compresor,Cto.2 Número de arranques del compresor,Cto.2 Presión del refrigerante del condensador,Cto.2 Presión del refrigerante del evaporador,Cto.2 Temperatura de saturación de refrigerante de evaporador,Cto.2 Temperatura de saturación de refrigerante del condensador,Cto.2 Tiempo de operación del compresor,Punto de ajuste activo de agua helada,Temperatura de entrada de agua,Temperatura de salida de agua,Temperatura del medio ambiente,iso_anomaly
2025-04-19,190.0,8893159.0,5374.0,1225.0,262.0,50.0,6.1,57650.0,4500.0,1323.0,272.0,6.9,53.0,53723.0,9.0,11.9,9.2,19.0,False
2025-04-21,235.0,8904323.0,5375.0,1717.0,268.0,63.0,6.7,57702.0,4501.0,1758.0,277.0,7.3,64.0,53775.0,9.0,11.2,10.4,28.0,False
2025-04-22,190.0,8907583.0,5376.0,1351.0,253.0,53.0,5.4,57719.0,4502.0,1352.0,259.0,5.9,53.0,53792.0,9.0,9.5,8.9,26.0,False
2025-04-24,203.0,8918619.0,5376.0,1672.0,263.0,61.0,6.2,57769.0,4503.0,1659.0,271.0,6.8,62.0,53840.0,8.5,11.4,10.1,30.0,False
2025-04-25,210.0,8923441.0,5377.0,1546.0,258.0,59.0,5.8,57787.0,4503.0,1601.0,267.0,6.5,60.0,53864.0,9.0,11.1,9.7,30.0,False
2025-04-26,223.0,8927080.0,5377.0,1325.0,267.0,53.0,6.5,57803.0,4503.0,1516.0,278.0,7.3,58.0,53880.0,9.0,12.3,9.6,23.0,False
2025-04-28,216.0,8939302.0,5377.0,1682.0,275.0,62.0,7.1,57859.0,4504.0,1698.0,285.0,7.9,62.0,53935.0,9.0,12.3,11.1,30.0,False
2025-04-29,199.0,8943536.0,5377.0,1460.0,256.0,56.0,5.7,57882.0,4504.0,1508.0,265.0,6.4,58.0,53958.0,9.0,11.3,9.4,26.0,False
2025-05-02,220.0,8959681.0,5377.0,1659.0,269.0,61.7,6.7,57954.0,4504.0,1668.0,279.0,7.4,62.0,54031.0,9.0,11.7,10.4,28.0,False
2025-05-03,222.0,8964105.0,5377.0,1433.0,277.0,56.1,7.3,57972.0,4504.0,1488.0,286.0,7.9,57.0,54098.0,9.0,12.8,10.5,21.0,False
2025-05-06,216.0,8983638.0,5377.0,1615.0,270.0,60.0,6.7,58051.0,4504.0,1762.0,279.0,7.5,64.0,54127.0,9.0,11.6,10.6,32.0,False
2025-05-07,220.0,8989321.0,5377.0,1649.0,275.0,61.0,7.2,58074.0,4504.0,1731.0,284.0,7.8,64.0,54150.0,9.0,11.7,11.1,33.0,False
2025-05-08,219.0,8995540.0,5377.0,1547.0,288.0,59.0,6.5,58098.0,4504.0,1571.0,276.0,7.2,55.0,54174.0,8.5,11.3,9.9,23.0,False
2025-05-09,246.0,9001953.0,5377.0,1565.0,270.0,58.0,6.7,58123.0,4504.0,1631.0,278.0,7.4,61.0,54199.0,8.5,11.3,10.6,29.0,False
2025-05-10,252.0,9004922.0,5378.0,805.0,303.0,35.0,9.3,58127.0,4504.0,1781.0,298.0,8.9,65.0,54216.0,9.0,13.4,12.4,23.0,True
2025-05-12,180.0,9015805.0,5389.0,1495.0,256.0,57.0,5.7,58168.0,4504.0,1544.0,267.0,6.4,59.0,54271.0,8.5,11.6,9.5,29.0,False
2025-05-13,184.0,9020954.0,5389.0,1522.0,262.0,58.4,6.1,58191.0,4504.0,1584.0,271.0,6.9,60.1,54295.0,8.5,12.0,10.1,27.0,False
2025-05-14,176.0,9027079.0,5389.0,1623.0,263.0,60.8,6.2,58215.0,4504.0,1726.0,275.0,7.1,63.5,54319.0,9.0,11.9,10.0,30.0,False
2025-05-16,180.0,9038240.0,5389.0,1226.0,272.0,61.0,6.9,58261.0,4504.0,1673.0,281.0,7.6,62.0,54364.0,9.0,12.5,10.8,30.0,False
2025-05-17,181.0,9042864.0,5389.0,1483.0,280.0,57.4,7.5,58280.0,4504.0,1551.0,290.0,8.3,59.2,54384.0,9.0,13.9,10.8,25.0,False
2025-05-20,205.0,9054865.0,5385.0,1670.0,269.0,62.1,6.6,58322.0,4508.0,1561.0,280.0,7.5,61.1,54415.0,9.0,12.1,10.4,28.0,False
2025-05-21,199.0,9060724.0,5388.0,1647.0,270.0,61.7,6.7,58344.0,4508.0,1593.0,275.0,7.3,60.9,54440.0,9.0,11.9,10.3,31.0,False
2025-05-22,200.0,9066489.0,5390.0,1675.0,258.0,62.5,6.5,58365.0,4508.0,1640.0,269.0,7.1,61.3,54488.0,9.0,12.2,10.3,29.0,False
2025-05-23,195.0,9072389.0,5393.0,1689.0,270.0,62.9,6.7,58387.0,4508.0,1642.0,281.0,7.6,61.6,54512.0,9.0,12.2,10.4,29.0,False
